,year,month,expenditure_yen
0,2003,1,331
1,2003,2,268
2,2003,3,365
3,2003,4,492
4,2003,5,632
5,2003,6,730
6,2003,7,821
7,2003,8,1057
8,2003,9,724
9,2003,10,430
10,2003,11,363
11,2003,12,415
12,2004,1,351
13,2004,2,322
14,2004,3,367
15,2004,4,508
16,2004,5,667
17,2004,6,772
18,2004,7,1148
19,2004,8,1080
20,2004,9,653
21,2004,10,434
22,2004,11,358
23,2004,12,388
24,2005,1,323
25,2005,2,283
26,2005,3,357
27,2005,4,543
28,2005,5,667
29,2005,6,812
30,2005,7,1037
31,2005,8,1179
32,2005,9,739
33,2005,10,453
34,2005,11,315
35,2005,12,359
36,2006,1,322
37,2006,2,279
38,2006,3,373
39,2006,4,457
40,2006,5,602
41,2006,6,748
42,2006,7,973
43,2006,8,1193
44,2006,9,654
45,2006,10,493
46,2006,11,336
47,2006,12,392
48,2007,1,347
49,2007,2,292
50,2007,3,387
51,2007,4,466
52,2007,5,652
53,2007,6,768
54,2007,7,908
55,2007,8,1279
56,2007,9,784
57,2007,10,469
58,2007,11,324
59,2007,12,405
60,2008,1,346
61,2008,2,288
62,2008,3,404
63,2008,4,501
64,2008,5,689
65,2008,6,727
66,2008,7,1182
67,2008,8,1190
68,2008,9,691
69,2008,10,477
70,2008,11,355
71,2008,12,414
72,2009,1,351
73,2009,2,303
74,2009,3,386
75,2009,4,569
76,2009,5,768
77,2009,6,819
78,2009,7,1072
79,2009,8,1215
80,2009,9,723
81,2009,10,495
82,2009,11,402
83,2009,12,440
84,2010,1,362
85,2010,2,305
86,2010,3,383
87,2010,4,464
88,2010,5,752
89,2010,6,841
90,2010,7,1211
91,2010,8,1451
92,2010,9,864
93,2010,10,504
94,2010,11,351
95,2010,12,423
96,2011,1,346
97,2011,2,289
98,2011,3,329
99,2011,4,462
100,2011,5,672
101,2011,6,791
102,2011,7,1265
103,2011,8,1241
104,2011,9,767
105,2011,10,516
106,2011,11,393
107,2011,12,423
108,2012,1,339
109,2012,2,274
110,2012,3,385
111,2012,4,524
112,2012,5,671
113,2012,6,798
114,2012,7,1165
115,2012,8,1332
116,2012,9,849
117,2012,10,515
118,2012,11,326
119,2012,12,414
